ProductID,ProductName,CategoryID,UnitPrice,StockQuantity,SupplierID
PROD093,"Yippee Magic Masala Noodles",CAT019,14.00,1150,SUP003
PROD094,"Red Bull Energy Drink 250ml",CAT007,125.00,400,SUP008
PROD095,"Uncle Chipps Spicy Treat",CAT006,20.00,1450,SUP009
PROD096,"Tide Plus Jasmine & Rose 1kg",CAT016,110.00,390,SUP002
PROD097,"Sensodyne Fresh Gel Toothpaste 75g",CAT015,130.00,540,SUP001
PROD098,"Fresh Cucumber 500g",CAT002,25.00,760,SUP049
PROD099,"Fresh Guava 1kg",CAT001,80.00,560,SUP050
PROD100,"Amul Gold Full Cream Milk 500ml",CAT003,33.00,490,SUP004
PROD101,"English Oven Brown Bread",CAT005,55.00,270,SUP005
PROD102,"Patanjali Dant Kanti Toothpaste 100g",CAT015,50.00,650,SUP011
PROD103,"Parachute Coconut Oil 500ml",CAT012,215.00,400,SUP013
PROD104,"Dabur Honey 500g",CAT012,220.00,350,SUP012
PROD105,"Paper Boat Aamras Juice 200ml",CAT007,30.00,900,SUP009
PROD106,"Hide & Seek Chocolate Chip Cookies",CAT025,30.00,950,SUP007
PROD107,"Rin Detergent Bar 250g",CAT016,20.00,800,SUP001
PROD108,"Santoor Sandal & Turmeric Soap 125g",CAT013,40.00,750,SUP014
PROD109,"Clinic Plus Strong & Long Shampoo 175ml",CAT014,99.00,500,SUP001
PROD110,"Vim Dishwash Bar Lemon",CAT017,10.00,1000,SUP044
PROD111,"Colin Glass Cleaner 500ml",CAT018,96.00,450,SUP029
PROD112,"Ganesh Bhel",CAT006,45.00,600,SUP019
PROD113,"Act II Popcorn Butter Lovers",CAT006,30.00,700,SUP003
PROD114,"Too Yumm Karare",CAT006,20.00,1300,SUP003
PROD115,"Hersheys Chocolate Syrup 623g",CAT025,250.00,300,SUP006
PROD116,"Weikfield Baking Powder 100g",CAT025,40.00,500,SUP005
PROD117,"Tata Sampann Besan 500g",CAT009,65.00,600,SUP015
PROD118,"Rajdhani Besan 1kg",CAT009,120.00,550,SUP010
PROD119,"Organic Tattva Brown Rice 1kg",CAT010,150.00,250,SUP017
PROD120,"24 Mantra Organic Toor Dal 1kg",CAT011,210.00,350,SUP017
PROD121,"Epigamia Greek Yogurt Strawberry",CAT003,45.00,400,SUP031
PROD122,"The Whole Truth Protein Bar",CAT024,100.00,300,SUP017
PROD123,"Raw Pressery Cold Pressed Juice 250ml",CAT007,150.00,200,SUP038
PROD124,"Sleepy Owl Cold Brew Coffee",CAT008,120.00,250,SUP015
PROD125,"Blue Tokai Coffee Roasters",CAT008,450.00,150,SUP015
PROD126,"L'Oreal Paris Total Repair 5 Shampoo",CAT014,165.00,400,SUP002
PROD127,"Nivea Men Fresh Active Deodorant",CAT013,199.00,500,SUP002
PROD128,"Gillette Mach3 Turbo Razor",CAT013,299.00,300,SUP002
PROD129,"Veet Hair Removal Cream",CAT013,80.00,450,SUP029
PROD130,"Stayfree Secure XL Wings 20 pads",CAT013,90.00,550,SUP028
PROD131,"Himalaya Purifying Neem Face Wash",CAT013,140.00,600,SUP012
PROD132,"Vaseline Intensive Care Body Lotion",CAT013,250.00,350,SUP001
PROD133,"Borges Olive Oil Extra Light 1L",CAT012,950.00,200,SUP010
PROD134,"Figaro Olive Oil 500ml",CAT012,550.00,250,SUP010
PROD135,"Del Monte Penne Pasta 500g",CAT019,120.00,400,SUP010
PROD136,"Veeba Pasta & Pizza Sauce",CAT019,99.00,350,SUP010
PROD137,"Ching's Secret Schezwan Chutney",CAT012,85.00,500,SUP003
PROD138,"Knorr Classic Tomato Soup",CAT019,60.00,600,SUP001
PROD139,"Amul Dark Chocolate 150g",CAT025,120.00,450,SUP004
PROD140,"Lindt Excellence 90% Cocoa",CAT025,450.00,150,SUP006
PROD141,"Fresh Broccoli 1pc",CAT002,70.00,300,SUP049
PROD142,"Zespri SunGold Kiwifruit 3pc",CAT001,150.00,250,SUP050
PROD143,"Imported Avocado 1pc",CAT001,250.00,200,SUP050
PROD144,"Drools Adult Dog Food Chicken & Egg 3kg",CAT022,650.00,120,SUP048
PROD145,"Huggies Wonder Pants M-size 42",CAT021,650.00,160,SUP001
PROD146,"Himalaya Baby Wipes 72s",CAT021,180.00,300,SUP012
PROD147,"Comfort After Wash Fabric Conditioner",CAT016,220.00,350,SUP001
PROD148,"Vanish Oxi Action Stain Remover",CAT016,150.00,300,SUP029
PROD149,"Baygon All Insect Killer Spray",CAT018,130.00,400,SUP030
PROD150,"Duracell Ultra AA Batteries 4-pack",CAT018,180.00,500,SUP002
